parliament\.uk/afternoon-tea	afternoon tea
parliament\.uk/worksofart	art collection
parliament\.uk/about/art-in-parliament	art collection
(?<filter>beta\.parliament\.uk)	beta
parliament\.uk/bigben	Big Ben
services\.parliament\.uk/bills	bills
publications\.parliament\.uk/pa/bills	bills
parliament\.uk/business/bills-and-legislation	bills and legislation
www\.parliament\.uk/biographies	biography
calendar\.parliament\.uk	calendar
parliament\.uk/business/committees	committee
publications\.parliament\.uk/.+/jtselect	Committee
parliament\.uk/documents/commons-committees	Commons committee document
publications\.parliament\.uk/pa/cm(\d{4})(\d{2})	Commons publication from session: {1}-{2}
publications\.parliament\.uk/pa/cm/	Commons publications
data\.parliament\.uk/dataset	dataset
data\.parliament\.uk/depositedpapers	deposited papers
parliament\.uk/edm	early day motion
parliament\.uk/education	education
electionresults\.parliament\.uk	election results
\.xlsx?$	Excel
parliament\.uk/about/general-election-2017	general election 2017
parliament\.uk/get-involved	get involved
parliament\.uk/mps-lords-and-offices/government-and-opposition1	Government and Opposition
hansard\.parliament\.uk	Hansard
(?<filter>api\.parliament\.uk/historic-hansard)	Hansard
parliament\.uk/business/commons	House of Commons
parliament\.uk/business/lords	House of Lords
parliament\.uk/about/how	how Parliament works
parliament\.uk/about/working	jobs
secondreading\.parliament\.uk.*/key-issues	key issues
parliament\.uk/about/living-heritage	Living Heritage
parliament\.uk/mps-lords-and-offices/lords	Lords
lordsbusiness\.parliament\.uk	Lords business
publications\.parliament\.uk/pa/ld(\d{4})(\d{2})	Lords publication from session: {1}-{2}
publications\.parliament\.uk/pa/ld/	Lords publications
parliament\.uk/mps-lords-and-offices/members-allowances	MP and Lord allowances
findyourmp\.parliament\.uk	MPs
parliament\.uk/mps-lords-and-offices/mps	MPs
parliament\.uk/about/mps-and-lords	MPs and Lords
parliament\.uk/business/news	news
parliament\.uk/documents/pcfs	office of the parliamentary commissioner for standards
parliament\.uk/mps-lords-and-offices/offices	offices
parliament\.uk/about/parliament-and-women	Parliament and women
pds\.Blog\.parliament\.uk	Parliamentary Digital Service Blog
\.pdf$	pdf
petition\.parliament\.uk	petition
parliament\.uk/about/podcasts	podcasts
\.pptx?$	Powerpoint
publications\.parliament\.uk/.+/pabills	public bills
parliament\.uk/business/publications	publications and records
researchbriefings\.parliament\.uk	research briefings
restorationandrenewal.parliament\.uk	Restoration and Renewal
shop.parliament\.uk	shop
parliament\.uk/site-information	site information
parliament\.uk/mps-lords-and-offices/standards-and-financial-interests	standards and financial interests
subscriptions\.parliament\.uk	subscribe to email updates
parliament\.uk/about/sustainability	sustainability
parliament\.uk/topics	topics
parliament\.uk/treascom	Treasury Committee
parliament\.uk/visiting	visiting
webarchive\.parliament\.uk	web archive
\.docx?$	Word
parliament\.uk/writtenstatements	written statements
